D1,D2,D3,D4
2.828427125,2.828427125,2.828427125,2.828427125
2.121320344,2.915475947,3.535533906,2.915475947
2.150581317,2.573907535,3.553167601,3.259601203
1.767766953,3.020761493,3.889087297,3.020761493
2.474873734,2.850438563,3.181980515,2.850438563
2.150581317,3.259601203,3.553167601,2.573907535
2.915475947,2.121320344,2.915475947,3.535533906
3.020761493,1.767766953,3.020761493,3.889087297
2.573907535,2.150581317,3.259601203,3.553167601
3.259601203,2.150581317,2.573907535,3.553167601
2.850438563,2.474873734,2.850438563,3.181980515
3.535533906,2.915475947,2.121320344,2.915475947
3.553167601,2.573907535,2.150581317,3.259601203
3.181980515,2.850438563,2.474873734,2.850438563
3.889087297,3.020761493,1.767766953,3.020761493
3.553167601,3.259601203,2.150581317,2.573907535
2.915475947,3.535533906,2.915475947,2.121320344
2.850438563,3.181980515,2.850438563,2.474873734
2.573907535,3.553167601,3.259601203,2.150581317
3.259601203,3.553167601,2.573907535,2.150581317
3.020761493,3.889087297,3.020761493,1.767766953
3.516551801,2.81021968,2.144575132,3.010751017
